ticket_id,text,category,priority,sentiment,channel,customer_tier,product,country,created_at,clean_text,text_len
TKT042250,Feature not working correctly Very happy with support.,technical,P3,positive,chat,enterprise,Product_C,Canada,2024-12-26,feature not working correctly very happy with support,53
TKT017501,Account locked ASAP please.,account,P0,neutral,email,pro,Product_C,UK,2024-10-23,account locked asap please,26
TKT024290,How does this feature work?,general,P1,negative,chat,enterprise,Product_B,India,2024-10-07,how does this feature work,26
TKT008590,Requesting refund immediately ASAP please.,refund,P2,positive,chat,pro,Product_B,USA,2024-09-29,requesting refund immediately asap please,41
TKT008038,General inquiry Please help urgently.,general,P0,negative,email,pro,Product_C,Canada,2024-11-09,general inquiry please help urgently,36
TKT025261,My package has not arrived yet ASAP please.,delivery,P3,negative,chat,free,Product_C,Canada,2024-12-19,my package has not arrived yet asap please,42
TKT032634,Why was extra tax added? This is very frustrating.,billing,P1,neutral,chat,free,Product_A,Canada,2024-12-06,why was extra tax added this is very frustrating,48
TKT015073,I want a refund for my order Thank you.,refund,P0,neutral,phone,enterprise,Product_B,India,2024-07-25,i want a refund for my order thank you,38
TKT044174,Requesting refund immediately I am disappointed.,refund,P3,neutral,chat,pro,Product_C,USA,2024-04-29,requesting refund immediately i am disappointed,47
TKT031916,Requesting refund immediately Not satisfied.,refund,P2,positive,phone,free,Product_C,USA,2024-12-09,requesting refund immediately not satisfied,43
TKT030620,Unexpected charge on my card Not satisfied.,billing,P2,negative,email,enterprise,Product_B,Germany,2024-02-12,unexpected charge on my card not satisfied,42
TKT012561,Account locked Please help urgently.,account,P3,positive,chat,free,Product_B,India,2024-03-31,account locked please help urgently,35
TKT040301,I want a refund for my order I am disappointed.,refund,P2,negative,phone,enterprise,Product_A,Germany,2024-02-26,i want a refund for my order i am disappointed,46
TKT014716,Received wrong product I am disappointed.,delivery,P3,negative,phone,free,Product_B,USA,2024-06-09,received wrong product i am disappointed,40
TKT027558,Unable to reset my password This is very frustrating.,technical,P3,negative,email,pro,Product_C,Germany,2024-03-31,unable to reset my password this is very frustrating,52
TKT032563,Package missing I am disappointed.,delivery,P2,negative,email,enterprise,Product_A,Germany,2024-02-29,package missing i am disappointed,33
TKT031387,Forgot password,account,P3,neutral,phone,pro,Product_B,USA,2024-09-13,forgot password,15
TKT045649,My package has not arrived yet Not satisfied.,delivery,P3,neutral,email,free,Product_A,Canada,2024-08-30,my package has not arrived yet not satisfied,44
TKT022572,Do you offer discounts? Please help urgently.,general,P1,negative,chat,enterprise,Product_C,Canada,2024-12-10,do you offer discounts please help urgently,43
TKT048427,Unexpected charge on my card,billing,P3,neutral,chat,enterprise,Product_C,India,2024-06-24,unexpected charge on my card,28
TKT024904,Do you offer discounts? Very happy with support.,general,P3,negative,chat,enterprise,Product_A,India,2024-01-28,do you offer discounts very happy with support,46
TKT027683,App keeps crashing when I login ASAP please.,technical,P2,negative,phone,enterprise,Product_B,UK,2024-03-20,app keeps crashing when i login asap please,43
TKT043495,I want a refund for my order Very happy with support.,refund,P2,neutral,email,enterprise,Product_B,USA,2024-09-11,i want a refund for my order very happy with support,52
TKT025735,Order tracking not updating,delivery,P3,negative,chat,free,Product_C,Germany,2024-06-01,order tracking not updating,27
TKT021375,Account locked Please help urgently.,account,P2,positive,email,enterprise,Product_C,UK,2024-07-22,account locked please help urgently,35
TKT041309,When will my refund arrive? Very happy with support.,refund,P1,negative,phone,pro,Product_B,India,2024-05-18,when will my refund arrive very happy with support,50
TKT007767,Need help understanding pricing I am disappointed.,general,P3,negative,chat,pro,Product_B,UK,2024-12-19,need help understanding pricing i am disappointed,49
TKT011841,Website not loading properly,technical,P2,neutral,email,enterprise,Product_C,USA,2024-01-07,website not loading properly,28
TKT005763,Unable to reset my password Thank you.,technical,P3,negative,chat,free,Product_B,UK,2024-09-18,unable to reset my password thank you,37
TKT008389,Need more information about product I am disappointed.,general,P2,negative,email,pro,Product_A,India,2024-12-11,need more information about product i am disappointed,53
TKT016692,Account locked Please help urgently.,account,P1,neutral,phone,enterprise,Product_B,UK,2024-06-07,account locked please help urgently,35
TKT033430,Refund not processed yet Thank you.,refund,P0,neutral,chat,pro,Product_A,Germany,2024-10-18,refund not processed yet thank you,34
TKT002953,Unable to reset my password Thank you.,technical,P3,negative,email,enterprise,Product_A,Canada,2024-01-22,unable to reset my password thank you,37
TKT011912,Why was extra tax added? This is very frustrating.,billing,P3,negative,phone,enterprise,Product_B,Canada,2024-01-23,why was extra tax added this is very frustrating,48
TKT006072,App keeps crashing when I login Not satisfied.,technical,P2,negative,phone,pro,Product_A,India,2024-07-29,app keeps crashing when i login not satisfied,45
TKT006321,Getting server error Not satisfied.,technical,P3,neutral,phone,pro,Product_A,Canada,2024-04-21,getting server error not satisfied,34
TKT026772,When will my refund arrive? This is very frustrating.,refund,P2,positive,phone,pro,Product_A,India,2024-01-01,when will my refund arrive this is very frustrating,51
TKT024747,Billing error on last payment Thank you.,billing,P3,negative,phone,free,Product_A,India,2024-01-09,billing error on last payment thank you,39
TKT020883,Need to change email Not satisfied.,account,P0,negative,email,free,Product_C,USA,2024-12-27,need to change email not satisfied,34
TKT011751,Refund not processed yet I am disappointed.,refund,P3,neutral,phone,enterprise,Product_B,Canada,2024-02-26,refund not processed yet i am disappointed,42
TKT024776,Refund not processed yet Kindly resolve this.,refund,P3,negative,email,pro,Product_C,Germany,2024-03-08,refund not processed yet kindly resolve this,44
TKT020642,Account access issue Please help urgently.,account,P2,positive,chat,free,Product_B,USA,2024-09-10,account access issue please help urgently,41
TKT009613,Need to change email Please help urgently.,account,P2,neutral,email,free,Product_A,USA,2024-12-16,need to change email please help urgently,41
TKT045334,Forgot password Very happy with support.,account,P2,positive,email,free,Product_A,UK,2024-06-10,forgot password very happy with support,39
TKT037941,Why was extra tax added? Not satisfied.,billing,P2,negative,chat,pro,Product_B,Canada,2024-09-08,why was extra tax added not satisfied,37
TKT002908,Why was extra tax added? Please help urgently.,billing,P2,negative,email,enterprise,Product_A,India,2024-06-21,why was extra tax added please help urgently,44
TKT013784,I want a refund for my order Please help urgently.,refund,P3,negative,chat,enterprise,Product_C,UK,2024-11-14,i want a refund for my order please help urgently,49
TKT026710,My invoice amount is incorrect I am disappointed.,billing,P2,negative,email,free,Product_C,USA,2024-10-26,my invoice amount is incorrect i am disappointed,48
TKT001892,Why was extra tax added? I am disappointed.,billing,P1,positive,email,pro,Product_C,Germany,2024-04-01,why was extra tax added i am disappointed,41
TKT049928,Need more information about product Thank you.,general,P3,positive,phone,pro,Product_A,USA,2024-07-05,need more information about product thank you,45
TKT023082,Order tracking not updating Thank you.,delivery,P2,neutral,phone,enterprise,Product_C,India,2024-06-21,order tracking not updating thank you,37
TKT027939,Package missing Please help urgently.,delivery,P1,neutral,phone,enterprise,Product_A,Germany,2024-11-07,package missing please help urgently,36
TKT041801,Refund amount incorrect Thank you.,refund,P3,positive,phone,free,Product_C,USA,2024-12-26,refund amount incorrect thank you,33
TKT019700,Do you offer discounts? I am disappointed.,general,P2,neutral,chat,pro,Product_B,UK,2024-10-08,do you offer discounts i am disappointed,40
TKT043113,My invoice amount is incorrect This is very frustrating.,billing,P2,negative,chat,enterprise,Product_A,India,2024-06-16,my invoice amount is incorrect this is very frustrating,55
TKT027336,Delivery is delayed,delivery,P3,positive,email,pro,Product_C,India,2024-07-25,delivery is delayed,19
TKT036772,Unexpected charge on my card Not satisfied.,billing,P3,negative,email,enterprise,Product_B,Germany,2024-08-15,unexpected charge on my card not satisfied,42
TKT003197,Do you offer discounts? Kindly resolve this.,general,P1,positive,chat,enterprise,Product_C,India,2024-10-11,do you offer discounts kindly resolve this,42
TKT014674,Refund not processed yet Kindly resolve this.,refund,P2,neutral,phone,pro,Product_C,UK,2024-03-29,refund not processed yet kindly resolve this,44
TKT005092,My invoice amount is incorrect I am disappointed.,billing,P2,neutral,chat,pro,Product_C,Canada,2024-12-23,my invoice amount is incorrect i am disappointed,48
TKT041664,Delivery is delayed I am disappointed.,delivery,P1,neutral,phone,enterprise,Product_A,Canada,2024-07-29,delivery is delayed i am disappointed,37
TKT000085,App keeps crashing when I login ASAP please.,technical,P0,neutral,chat,free,Product_B,India,2024-07-13,app keeps crashing when i login asap please,43
TKT048382,Unexpected charge on my card Kindly resolve this.,billing,P3,neutral,email,enterprise,Product_C,India,2024-01-15,unexpected charge on my card kindly resolve this,48
TKT035744,Refund not processed yet Kindly resolve this.,refund,P2,positive,email,pro,Product_B,UK,2024-10-19,refund not processed yet kindly resolve this,44
TKT032776,Order tracking not updating Very happy with support.,delivery,P2,negative,email,free,Product_C,Canada,2024-12-02,order tracking not updating very happy with support,51
TKT049131,When will my refund arrive? ASAP please.,refund,P3,negative,chat,free,Product_A,India,2024-07-24,when will my refund arrive asap please,38
TKT029703,When will my refund arrive? Not satisfied.,refund,P1,neutral,chat,pro,Product_B,Canada,2024-11-27,when will my refund arrive not satisfied,40
TKT014880,When will my refund arrive? Very happy with support.,refund,P2,positive,email,pro,Product_B,India,2024-11-20,when will my refund arrive very happy with support,50
TKT036170,Cannot login to my account Thank you.,account,P1,negative,phone,pro,Product_B,India,2024-04-04,cannot login to my account thank you,36
TKT041645,Package missing This is very frustrating.,delivery,P2,neutral,chat,enterprise,Product_A,India,2024-08-19,package missing this is very frustrating,40
TKT004784,Order tracking not updating Kindly resolve this.,delivery,P3,negative,chat,pro,Product_B,UK,2024-10-15,order tracking not updating kindly resolve this,47
TKT038418,Order tracking not updating Very happy with support.,delivery,P3,positive,chat,enterprise,Product_B,UK,2024-02-29,order tracking not updating very happy with support,51
TKT013222,Refund not processed yet ASAP please.,refund,P3,positive,email,pro,Product_A,USA,2024-05-12,refund not processed yet asap please,36
TKT032852,Account access issue I am disappointed.,account,P3,negative,phone,enterprise,Product_A,Canada,2024-03-16,account access issue i am disappointed,38
TKT021795,Cannot login to my account I am disappointed.,account,P3,negative,email,free,Product_A,Canada,2024-12-14,cannot login to my account i am disappointed,44
TKT000121,Received wrong product Please help urgently.,delivery,P2,positive,phone,pro,Product_C,Canada,2024-08-27,received wrong product please help urgently,43
TKT039952,Website not loading properly ASAP please.,technical,P2,neutral,phone,enterprise,Product_C,USA,2024-05-27,website not loading properly asap please,40
TKT045166,Account access issue Kindly resolve this.,account,P2,negative,chat,enterprise,Product_A,Germany,2024-05-23,account access issue kindly resolve this,40
TKT032641,Requesting refund immediately,refund,P1,neutral,chat,free,Product_B,India,2024-04-10,requesting refund immediately,29
TKT027678,Need help understanding pricing Very happy with support.,general,P1,negative,phone,enterprise,Product_B,Germany,2024-07-10,need help understanding pricing very happy with support,55
TKT010704,App keeps crashing when I login This is very frustrating.,technical,P2,positive,email,pro,Product_C,Germany,2024-11-08,app keeps crashing when i login this is very frustrating,56
TKT033461,Need to change email Please help urgently.,account,P3,positive,phone,enterprise,Product_A,Canada,2024-10-18,need to change email please help urgently,41
TKT022001,App keeps crashing when I login This is very frustrating.,technical,P3,neutral,email,free,Product_A,UK,2024-10-25,app keeps crashing when i login this is very frustrating,56
TKT030170,Getting server error Thank you.,technical,P3,negative,phone,enterprise,Product_C,USA,2024-11-22,getting server error thank you,30
TKT023960,When will my refund arrive? This is very frustrating.,refund,P1,negative,chat,pro,Product_B,Canada,2024-04-18,when will my refund arrive this is very frustrating,51
TKT016139,How does this feature work? Thank you.,general,P2,negative,chat,free,Product_B,Canada,2024-08-10,how does this feature work thank you,36
TKT027022,Account access issue This is very frustrating.,account,P1,positive,chat,free,Product_A,India,2024-02-05,account access issue this is very frustrating,45
TKT019074,My invoice amount is incorrect,billing,P2,neutral,phone,enterprise,Product_A,Canada,2024-04-07,my invoice amount is incorrect,30
TKT049284,Forgot password Kindly resolve this.,account,P1,positive,email,pro,Product_A,Germany,2024-05-10,forgot password kindly resolve this,35
TKT008598,Billing error on last payment Very happy with support.,billing,P2,negative,chat,pro,Product_C,USA,2024-01-30,billing error on last payment very happy with support,53
TKT014962,When will my refund arrive? Thank you.,refund,P1,neutral,email,pro,Product_A,USA,2024-09-04,when will my refund arrive thank you,36
TKT035254,Website not loading properly This is very frustrating.,technical,P2,negative,phone,enterprise,Product_A,Germany,2024-04-12,website not loading properly this is very frustrating,53
TKT030635,My package has not arrived yet Kindly resolve this.,delivery,P0,positive,phone,free,Product_A,USA,2024-12-05,my package has not arrived yet kindly resolve this,50
TKT006981,Delivery is delayed Not satisfied.,delivery,P0,positive,email,pro,Product_C,India,2024-12-12,delivery is delayed not satisfied,33
TKT005924,Refund not processed yet Please help urgently.,refund,P3,negative,chat,free,Product_A,India,2024-10-19,refund not processed yet please help urgently,45
TKT009590,App keeps crashing when I login,technical,P1,positive,email,pro,Product_A,Canada,2024-10-28,app keeps crashing when i login,31
TKT023842,Website not loading properly Very happy with support.,technical,P2,negative,email,pro,Product_C,Germany,2024-03-19,website not loading properly very happy with support,52
TKT045972,General inquiry Please help urgently.,general,P1,positive,phone,pro,Product_B,Canada,2024-03-08,general inquiry please help urgently,36
TKT039623,Forgot password Thank you.,account,P3,positive,chat,enterprise,Product_B,India,2024-12-19,forgot password thank you,25
TKT049153,My package has not arrived yet Thank you.,delivery,P1,positive,chat,free,Product_A,India,2024-04-27,my package has not arrived yet thank you,40
TKT034958,Why was extra tax added? ASAP please.,billing,P2,positive,chat,enterprise,Product_B,USA,2024-07-17,why was extra tax added asap please,35
TKT036476,When will my refund arrive? Very happy with support.,refund,P3,positive,email,free,Product_C,India,2024-12-22,when will my refund arrive very happy with support,50
TKT028630,Received wrong product Not satisfied.,delivery,P1,positive,phone,free,Product_C,Canada,2024-09-07,received wrong product not satisfied,36
TKT012012,Order tracking not updating Thank you.,delivery,P2,negative,email,free,Product_A,USA,2024-09-17,order tracking not updating thank you,37
TKT037986,Account access issue Kindly resolve this.,account,P2,negative,phone,free,Product_B,Canada,2024-08-11,account access issue kindly resolve this,40
TKT011513,Package missing I am disappointed.,delivery,P2,neutral,chat,enterprise,Product_B,Germany,2024-04-24,package missing i am disappointed,33
TKT048999,My invoice amount is incorrect I am disappointed.,billing,P3,negative,email,pro,Product_B,India,2024-04-28,my invoice amount is incorrect i am disappointed,48
TKT007194,Unexpected charge on my card Not satisfied.,billing,P2,negative,phone,pro,Product_B,Canada,2024-02-18,unexpected charge on my card not satisfied,42
TKT014162,Cannot login to my account,account,P2,positive,chat,pro,Product_C,Germany,2024-09-16,cannot login to my account,26
TKT006137,Account locked,account,P2,negative,email,pro,Product_C,UK,2024-12-15,account locked,14
TKT007348,My invoice amount is incorrect Not satisfied.,billing,P2,negative,email,free,Product_A,USA,2024-07-22,my invoice amount is incorrect not satisfied,44
TKT025756,Account locked Please help urgently.,account,P2,neutral,email,free,Product_B,UK,2024-08-25,account locked please help urgently,35
TKT040915,Account locked Not satisfied.,account,P3,negative,email,free,Product_A,Germany,2024-08-16,account locked not satisfied,28
TKT028646,Website not loading properly Thank you.,technical,P2,positive,chat,free,Product_B,Canada,2024-01-13,website not loading properly thank you,38
TKT031130,General inquiry I am disappointed.,general,P2,positive,phone,enterprise,Product_A,Germany,2024-03-02,general inquiry i am disappointed,33
TKT008532,Forgot password Kindly resolve this.,account,P2,positive,email,free,Product_B,India,2024-01-12,forgot password kindly resolve this,35
TKT024097,Unable to reset my password Very happy with support.,technical,P0,neutral,chat,pro,Product_A,India,2024-11-22,unable to reset my password very happy with support,51
TKT001855,My package has not arrived yet Not satisfied.,delivery,P3,negative,email,enterprise,Product_C,UK,2024-05-22,my package has not arrived yet not satisfied,44
TKT035375,Account locked ASAP please.,account,P2,negative,phone,pro,Product_B,Germany,2024-09-19,account locked asap please,26
TKT003997,Cannot login to my account ASAP please.,account,P1,negative,phone,free,Product_A,India,2024-05-10,cannot login to my account asap please,38
TKT042188,How does this feature work? Please help urgently.,general,P3,positive,email,enterprise,Product_C,Germany,2024-02-20,how does this feature work please help urgently,47
TKT033694,Website not loading properly Kindly resolve this.,technical,P2,positive,phone,free,Product_B,UK,2024-04-07,website not loading properly kindly resolve this,48
TKT001613,Account locked Not satisfied.,account,P2,negative,email,enterprise,Product_B,Germany,2024-04-21,account locked not satisfied,28
TKT009405,Account locked Thank you.,account,P3,neutral,email,enterprise,Product_C,Germany,2024-12-28,account locked thank you,24
TKT005964,Getting server error,technical,P1,negative,chat,free,Product_C,India,2024-07-31,getting server error,20
TKT020231,Order tracking not updating Not satisfied.,delivery,P3,negative,phone,free,Product_C,India,2024-07-22,order tracking not updating not satisfied,41
TKT023969,Account access issue Not satisfied.,account,P1,negative,email,free,Product_C,USA,2024-10-26,account access issue not satisfied,34
TKT036011,Order tracking not updating ASAP please.,delivery,P3,neutral,chat,pro,Product_A,USA,2024-06-29,order tracking not updating asap please,39
TKT023079,Unable to reset my password ASAP please.,technical,P3,negative,chat,free,Product_A,India,2024-06-12,unable to reset my password asap please,39
TKT044925,Cannot login to my account,account,P2,neutral,phone,pro,Product_B,Canada,2024-12-19,cannot login to my account,26
TKT009000,Need to change email Please help urgently.,account,P2,neutral,phone,pro,Product_C,UK,2024-06-12,need to change email please help urgently,41
TKT049513,Order tracking not updating Please help urgently.,delivery,P2,negative,phone,free,Product_C,Germany,2024-01-18,order tracking not updating please help urgently,48
TKT049824,Getting server error Not satisfied.,technical,P3,neutral,phone,pro,Product_C,India,2024-07-25,getting server error not satisfied,34
TKT017542,I was charged twice for my subscription This is very frustrating.,billing,P2,negative,email,enterprise,Product_B,USA,2024-10-30,i was charged twice for my subscription this is very frustrating,64
TKT039446,Refund not processed yet Not satisfied.,refund,P3,neutral,email,pro,Product_C,USA,2024-03-16,refund not processed yet not satisfied,38
TKT024862,Order tracking not updating Thank you.,delivery,P2,negative,phone,enterprise,Product_C,USA,2024-07-17,order tracking not updating thank you,37
TKT030025,How does this feature work? This is very frustrating.,general,P1,negative,chat,free,Product_C,UK,2024-01-14,how does this feature work this is very frustrating,51
TKT020039,My package has not arrived yet Very happy with support.,delivery,P3,negative,email,enterprise,Product_C,USA,2024-01-25,my package has not arrived yet very happy with support,54
TKT034113,Do you offer discounts? Kindly resolve this.,general,P3,positive,chat,pro,Product_C,USA,2024-08-11,do you offer discounts kindly resolve this,42
TKT019871,Forgot password Very happy with support.,account,P3,negative,phone,free,Product_A,USA,2024-02-22,forgot password very happy with support,39
TKT007017,Account locked Not satisfied.,account,P3,neutral,chat,pro,Product_A,USA,2024-01-04,account locked not satisfied,28
TKT016017,Unexpected charge on my card Not satisfied.,billing,P1,positive,phone,pro,Product_B,Germany,2024-08-17,unexpected charge on my card not satisfied,42
TKT001475,Why was extra tax added? Thank you.,billing,P2,positive,chat,pro,Product_C,UK,2024-05-26,why was extra tax added thank you,33
TKT035040,Need help understanding pricing Very happy with support.,general,P1,neutral,email,free,Product_A,USA,2024-06-25,need help understanding pricing very happy with support,55
TKT037318,Package missing ASAP please.,delivery,P0,neutral,email,free,Product_C,Germany,2024-08-28,package missing asap please,27
TKT004757,How does this feature work? I am disappointed.,general,P1,neutral,email,free,Product_C,Canada,2024-01-25,how does this feature work i am disappointed,44
TKT026696,I was charged twice for my subscription Not satisfied.,billing,P2,positive,email,enterprise,Product_B,UK,2024-07-02,i was charged twice for my subscription not satisfied,53
TKT002450,Package missing Very happy with support.,delivery,P2,negative,email,pro,Product_C,USA,2024-01-01,package missing very happy with support,39
TKT038702,How does this feature work? Thank you.,general,P2,negative,chat,free,Product_C,USA,2024-09-12,how does this feature work thank you,36
TKT031969,My invoice amount is incorrect Very happy with support.,billing,P3,negative,chat,enterprise,Product_B,Germany,2024-02-22,my invoice amount is incorrect very happy with support,54
TKT034069,My package has not arrived yet Kindly resolve this.,delivery,P1,negative,email,free,Product_B,Germany,2024-05-08,my package has not arrived yet kindly resolve this,50
TKT023160,My invoice amount is incorrect Thank you.,billing,P2,negative,chat,free,Product_C,UK,2024-06-18,my invoice amount is incorrect thank you,40
TKT030804,Why was extra tax added? This is very frustrating.,billing,P1,neutral,chat,free,Product_B,Canada,2024-06-20,why was extra tax added this is very frustrating,48
TKT049195,Billing error on last payment ASAP please.,billing,P2,negative,chat,free,Product_A,USA,2024-08-17,billing error on last payment asap please,41
TKT013029,Refund not processed yet ASAP please.,refund,P2,positive,phone,enterprise,Product_C,Canada,2024-07-06,refund not processed yet asap please,36
TKT039590,When will my refund arrive? ASAP please.,refund,P2,neutral,chat,free,Product_A,India,2024-10-02,when will my refund arrive asap please,38
TKT045950,I want a refund for my order Kindly resolve this.,refund,P2,negative,chat,enterprise,Product_C,India,2024-05-16,i want a refund for my order kindly resolve this,48
TKT001907,Cannot login to my account I am disappointed.,account,P2,negative,phone,free,Product_B,India,2024-09-19,cannot login to my account i am disappointed,44
TKT009729,Requesting refund immediately Kindly resolve this.,refund,P0,negative,chat,free,Product_A,USA,2024-07-07,requesting refund immediately kindly resolve this,49
TKT024353,I want a refund for my order This is very frustrating.,refund,P3,negative,chat,free,Product_A,India,2024-10-10,i want a refund for my order this is very frustrating,53
TKT003768,Cannot login to my account,account,P2,neutral,phone,pro,Product_B,Germany,2024-10-25,cannot login to my account,26
TKT048652,How does this feature work? Not satisfied.,general,P3,neutral,phone,enterprise,Product_C,India,2024-08-21,how does this feature work not satisfied,40
TKT014858,When will my refund arrive? Kindly resolve this.,refund,P1,negative,email,pro,Product_A,Germany,2024-10-12,when will my refund arrive kindly resolve this,46
TKT032326,Account locked ASAP please.,account,P0,positive,email,free,Product_B,USA,2024-06-07,account locked asap please,26
TKT035385,Do you offer discounts? Kindly resolve this.,general,P2,negative,phone,free,Product_C,Germany,2024-04-12,do you offer discounts kindly resolve this,42
TKT045900,Delivery is delayed,delivery,P2,neutral,chat,pro,Product_C,Canada,2024-06-01,delivery is delayed,19
TKT005823,Why was extra tax added? Please help urgently.,billing,P2,negative,phone,free,Product_A,Canada,2024-03-23,why was extra tax added please help urgently,44
TKT029879,Package missing ASAP please.,delivery,P3,neutral,email,enterprise,Product_C,Canada,2024-07-12,package missing asap please,27
TKT002015,My package has not arrived yet This is very frustrating.,delivery,P1,neutral,chat,free,Product_B,Canada,2024-01-16,my package has not arrived yet this is very frustrating,55
TKT019823,Need help understanding pricing,general,P2,negative,email,free,Product_B,USA,2024-04-19,need help understanding pricing,31
TKT019528,Unexpected charge on my card Please help urgently.,billing,P2,positive,email,enterprise,Product_C,India,2024-10-06,unexpected charge on my card please help urgently,49
